Cancer,Year,Sex,Age,Risk,Risk_1_X,Type
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0046,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0085,11790.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0158,6311.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0266,3756.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0449,2225.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0687,1456.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0920,1086.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1412,708.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2047,489.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.2808,356.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3581,279.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4186,239.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0020,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0047,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0084,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0117,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0179,5574.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0254,3932.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0518,1932.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0757,1321.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1096,912.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.1945,514.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.2690,372.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.3476,288.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.4509,222.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.5132,195.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0038,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0051,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0089,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0137,7296.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0190,5276.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0282,3547.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0598,1674.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.0900,1111.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1348,742.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.1916,522.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.2571,389.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.3145,318.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0004,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0004,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0004,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0004,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0030,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0061,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0084,11912.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0134,7446.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0196,5105.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0355,2816.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0523,1913.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0851,1175.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1432,698.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2028,493.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.2699,370.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3518,284.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4093,244.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0020,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0033,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0045,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0084,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0152,6571.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0252,3967.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0361,2774.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0646,1549.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1059,945.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.1904,525.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.2850,351.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.4041,247.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.5215,192.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.5699,175.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0014,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0020,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0040,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0065,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0078,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0103,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0136,7344.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0247,4054.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0311,3211.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0530,1887.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.0836,1196.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1261,793.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.1913,523.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.2674,374.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.3204,312.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0004,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0010,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0020,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0036,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0055,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0081,12399.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0127,7852.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0194,5149.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0304,3293.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0481,2077.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0800,1250.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1382,724.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2068,484.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.2979,336.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3918,255.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4413,227.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0026,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0081,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0126,7963.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0188,5321.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0253,3947.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0361,2774.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0676,1479.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1195,837.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.1876,533.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.2848,351.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.4034,248.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.4695,213.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.5391,186.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0032,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0045,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0070,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0089,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0151,6619.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0217,4611.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0297,3371.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0407,2459.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0596,1679.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.0895,1117.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1348,742.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.2011,497.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.2639,379.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.3361,298.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0022,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0035,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0075,13308.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0107,9353.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0169,5908.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0235,4258.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0328,3045.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0544,1840.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0902,1108.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1398,715.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2109,474.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.3024,331.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3659,273.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4350,230.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0006,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0018,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0018,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0043,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0092,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0149,6721.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0219,4560.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0402,2490.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0695,1438.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1171,854.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.1818,550.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.2852,351.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.3851,260.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.4874,205.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.5488,182.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0013,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0019,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0044,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0056,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0108,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0207,4831.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0375,2668.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0498,2008.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.0953,1049.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1349,742.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.1917,522.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.2395,418.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.2919,343.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0003,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0009,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0015,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0031,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0068,14703.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0103,9746.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0164,6114.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0305,3283.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0537,1863.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0841,1189.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1395,717.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2111,474.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.2888,346.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3611,277.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4159,240.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0025,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0031,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0037,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0049,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0073,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0131,7661.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0206,4850.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0448,2232.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0781,1280.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1170,855.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.1790,559.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.3079,325.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.4147,241.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.4966,201.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.5788,173.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0014,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0019,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 35,0.0019,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 40,0.0026,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 45,0.0038,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 50,0.0095,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 55,0.0151,6606.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 60,0.0263,3809.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 65,0.0407,2455.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 70,0.0593,1685.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 75,0.0988,1012.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 80,0.1365,733.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 85,0.2094,478.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 90,0.2796,358.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,Lifetime,0.3480,287.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 15,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 20,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 25,0.0019,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 30,0.0025,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 35,0.0028,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 40,0.0038,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 45,0.0056,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 50,0.0113,8873.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 55,0.0179,5590.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 60,0.0356,2813.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 65,0.0596,1678.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 70,0.0886,1129.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 75,0.1396,716.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 80,0.2231,448.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 85,0.3123,320.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,before age 90,0.3871,258.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Persons,Lifetime,0.4595,218.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 10,0.0007,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 15,0.0014,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 20,0.0014,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 25,0.0014,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 30,0.0025,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 35,0.0037,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 40,0.0094,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 45,0.0129,7740.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 50,0.0212,4718.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 55,0.0330,3031.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 60,0.0547,1827.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 65,0.0906,1103.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 70,0.1401,714.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 75,0.2156,464.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 80,0.3079,325.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 85,0.4761,210.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,before age 90,0.5864,171.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Males,Lifetime,0.6944,144.0,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age  5,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 10,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 15,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 20,0.0000,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 25,0.0006,,Diagnosis
Non-melanoma skin cancer (rare types),2007,Females,before age 30,0.0006,,Diagnosis
