row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
314,Melanoma of the skin,2018,Females,,"6,315",50.2,417,3.3,Female,12665116
315,Melanoma of the skin,2018,Persons,New South Wales,"5,005",62.9,472,5.9,Person,8003564
316,Melanoma of the skin,2018,Persons,Victoria,"3,078",47.9,292,4.5,Person,6479695
317,Melanoma of the skin,2018,Persons,Queensland,"4,072",81.3,323,6.5,Person,5046434
318,Melanoma of the skin,2018,Persons,Western Australia,"1,484",56.7,132,5.0,Person,2636404
319,Melanoma of the skin,2018,Persons,South Australia,785,45.0,85,4.9,Person,1755715
320,Melanoma of the skin,2018,Persons,Tasmania,401,74.6,45,8.4,Person,542927
321,Melanoma of the skin,2018,Persons,Australian Capital Territory,195,48.1,20,5.0,Person,430758
322,Melanoma of the skin,2018,Persons,Northern Territory,83,33.9,7,2.8,Person,247095
323,Melanoma of the skin,2018,Persons,,"15,123",60.6,"1,383",5.5,Person,25146140
324,Melanoma of the skin,2019,Males,New South Wales,"3,012",75.3,307,7.7,Male,4019498
325,Melanoma of the skin,2019,Males,Victoria,"1,632",50.4,189,5.8,Male,3262240
326,Melanoma of the skin,2019,Males,Queensland,"2,601",103.2,212,8.4,Male,2540680
327,Melanoma of the skin,2019,Males,Western Australia,945,71.0,104,7.8,Male,1345064
328,Melanoma of the skin,2019,Males,South Australia,545,62.4,79,9.0,Male,878768
329,Melanoma of the skin,2019,Males,Tasmania,224,82.6,26,9.6,Male,273893
330,Melanoma of the skin,2019,Males,Australian Capital Territory,120,58.3,14,6.9,Male,217500
331,Melanoma of the skin,2019,Males,Northern Territory,55,43.3,6,4.6,Male,126289
332,Melanoma of the skin,2019,Males,,"9,135",72.6,942,7.5,Male,12665662
333,Melanoma of the skin,2019,Females,New South Wales,"2,077",51.3,157,3.9,Female,4068863
334,Melanoma of the skin,2019,Females,Victoria,"1,202",36.4,85,2.6,Female,3327810
335,Melanoma of the skin,2019,Females,Queensland,"1,845",71.9,99,3.9,Female,2589061
336,Melanoma of the skin,2019,Females,Western Australia,676,50.9,45,3.4,Female,1343735
337,Melanoma of the skin,2019,Females,South Australia,357,39.9,33,3.7,Female,900160
338,Melanoma of the skin,2019,Females,Tasmania,188,68.0,14,5.1,Female,279447
339,Melanoma of the skin,2019,Females,Australian Capital Territory,86,40.8,8,3.7,Female,222767
340,Melanoma of the skin,2019,Females,Northern Territory,33,27.6,1,n.p.,Female,120727
341,Melanoma of the skin,2019,Females,,"6,491",50.9,441,3.5,Female,12854806
342,Melanoma of the skin,2019,Persons,New South Wales,"5,089",63.2,464,5.8,Person,8088361
343,Melanoma of the skin,2019,Persons,Victoria,"2,834",43.4,274,4.2,Person,6590050
344,Melanoma of the skin,2019,Persons,Queensland,"4,446",87.4,311,6.1,Person,5129741
345,Melanoma of the skin,2019,Persons,Western Australia,"1,621",60.9,149,5.6,Person,2688799
346,Melanoma of the skin,2019,Persons,South Australia,902,51.0,112,6.3,Person,1778928
347,Melanoma of the skin,2019,Persons,Tasmania,412,75.2,40,7.3,Person,553340
348,Melanoma of the skin,2019,Persons,Australian Capital Territory,205,49.5,22,5.3,Person,440267
349,Melanoma of the skin,2019,Persons,Northern Territory,88,35.7,7,2.9,Person,246677
350,Melanoma of the skin,2019,Persons,,"15,626",61.7,"1,383",5.5,Person,25520468
351,Melanoma of the skin,2020,Males,New South Wales,"2,894",71.8,347,8.6,Male,4031001
352,Melanoma of the skin,2020,Males,Victoria,"1,493",45.6,183,5.6,Male,3274653
353,Melanoma of the skin,2020,Males,Queensland,"2,408",94.1,222,8.7,Male,2568499
354,Melanoma of the skin,2020,Males,Western Australia,817,60.2,85,6.3,Male,1364994
355,Melanoma of the skin,2020,Males,South Australia,544,61.5,68,7.7,Male,886475
356,Melanoma of the skin,2020,Males,Tasmania,221,80.1,28,10.1,Male,278353
357,Melanoma of the skin,2020,Males,Australian Capital Territory,120,57.2,15,7.1,Male,220886
358,Melanoma of the skin,2020,Males,Northern Territory,55,43.4,5,3.6,Male,126133
359,Melanoma of the skin,2020,Males,,"8,546",67.1,954,7.5,Male,12728639
360,Melanoma of the skin,2020,Females,New South Wales,"2,024",49.6,146,3.6,Female,4081000
361,Melanoma of the skin,2020,Females,Victoria,"1,093",32.7,98,2.9,Female,3341983
362,Melanoma of the skin,2020,Females,Queensland,"1,761",67.5,105,4.0,Female,2615830
363,Melanoma of the skin,2020,Females,Western Australia,597,44.0,38,2.8,Female,1363193
364,Melanoma of the skin,2020,Females,South Australia,347,38.3,39,4.3,Female,908039
365,Melanoma of the skin,2020,Females,Tasmania,205,72.8,9,3.2,Female,283528
366,Melanoma of the skin,2020,Females,Australian Capital Territory,85,39.4,8,3.7,Female,226764
367,Melanoma of the skin,2020,Females,Northern Territory,33,27.7,2,n.p.,Female,121772
368,Melanoma of the skin,2020,Females,,"6,135",47.5,445,3.4,Female,12920609
369,Melanoma of the skin,2020,Persons,New South Wales,"4,918",60.6,493,6.1,Person,8112001
370,Melanoma of the skin,2020,Persons,Victoria,"2,586",39.1,281,4.2,Person,6616636
371,Melanoma of the skin,2020,Persons,Queensland,"4,169",80.7,327,6.3,Person,5184329
372,Melanoma of the skin,2020,Persons,Western Australia,"1,417",52.2,123,4.5,Person,2728187
373,Melanoma of the skin,2020,Persons,South Australia,891,49.8,107,6.0,Person,1794514
374,Melanoma of the skin,2020,Persons,Tasmania,428,76.8,37,6.6,Person,561881
375,Melanoma of the skin,2020,Persons,Australian Capital Territory,205,48.2,23,5.4,Person,447650
376,Melanoma of the skin,2020,Persons,Northern Territory,88,35.8,6,2.5,Person,247819
377,Melanoma of the skin,2020,Persons,,"14,686",57.3,"1,399",5.5,Person,25649248
378,Non-melanoma skin cancer (rare types),2007,Males,New South Wales,178,5.3,35,1.0,Male,3413653
379,Non-melanoma skin cancer (rare types),2007,Males,Victoria,53,2.1,6,0.2,Male,2574619
380,Non-melanoma skin cancer (rare types),2007,Males,Queensland,109,5.3,23,1.1,Male,2076128
381,Non-melanoma skin cancer (rare types),2007,Males,Western Australia,48,4.5,12,1.1,Male,1075987
382,Non-melanoma skin cancer (rare types),2007,Males,South Australia,14,1.8,4,n.p.,Male,779355
383,Non-melanoma skin cancer (rare types),2007,Males,Tasmania,12,4.9,1,n.p.,Male,245319
384,Non-melanoma skin cancer (rare types),2007,Males,Australian Capital Territory,5,2.9,1,n.p.,Male,170383
385,Non-melanoma skin cancer (rare types),2007,Males,Northern Territory,0,n.p.,0,n.p.,Male,112777
386,Non-melanoma skin cancer (rare types),2007,Males,,416,4.0,82,0.8,Male,10449776
387,Non-melanoma skin cancer (rare types),2007,Females,New South Wales,119,3.5,22,0.6,Female,3470199
388,Non-melanoma skin cancer (rare types),2007,Females,Victoria,36,1.4,5,0.2,Female,2624884
389,Non-melanoma skin cancer (rare types),2007,Females,Queensland,49,2.4,8,0.4,Female,2083862
390,Non-melanoma skin cancer (rare types),2007,Females,Western Australia,25,2.4,7,0.7,Female,1059019
391,Non-melanoma skin cancer (rare types),2007,Females,South Australia,7,0.9,5,0.6,Female,799134
392,Non-melanoma skin cancer (rare types),2007,Females,Tasmania,6,2.4,5,2.0,Female,250539
393,Non-melanoma skin cancer (rare types),2007,Females,Australian Capital Territory,2,n.p.,0,n.p.,Female,173793
394,Non-melanoma skin cancer (rare types),2007,Females,Northern Territory,0,0.0,0,0.0,Female,103841
395,Non-melanoma skin cancer (rare types),2007,Females,,242,2.3,52,0.5,Female,10566345
396,Non-melanoma skin cancer (rare types),2007,Persons,New South Wales,297,4.3,57,0.8,Person,6883852
397,Non-melanoma skin cancer (rare types),2007,Persons,Victoria,89,1.7,11,0.2,Person,5199503
398,Non-melanoma skin cancer (rare types),2007,Persons,Queensland,158,3.8,31,0.8,Person,4159990
399,Non-melanoma skin cancer (rare types),2007,Persons,Western Australia,73,3.5,19,0.9,Person,2135006
400,Non-melanoma skin cancer (rare types),2007,Persons,South Australia,21,1.3,9,0.6,Person,1578489
401,Non-melanoma skin cancer (rare types),2007,Persons,Tasmania,18,3.6,6,1.2,Person,495858
402,Non-melanoma skin cancer (rare types),2007,Persons,Australian Capital Territory,7,2.2,1,n.p.,Person,344176
403,Non-melanoma skin cancer (rare types),2007,Persons,Northern Territory,0,n.p.,0,n.p.,Person,216618
404,Non-melanoma skin cancer (rare types),2007,Persons,,658,3.2,134,0.6,Person,21016121
405,Non-melanoma skin cancer (rare types),2008,Males,New South Wales,166,4.8,28,0.8,Male,3476199
406,Non-melanoma skin cancer (rare types),2008,Males,Victoria,40,1.5,6,0.2,Male,2633317
407,Non-melanoma skin cancer (rare types),2008,Males,Queensland,119,5.6,25,1.2,Male,2135996
408,Non-melanoma skin cancer (rare types),2008,Males,Western Australia,52,4.7,5,0.5,Male,1113633
409,Non-melanoma skin cancer (rare types),2008,Males,South Australia,11,1.4,4,n.p.,Male,789696
410,Non-melanoma skin cancer (rare types),2008,Males,Tasmania,7,2.8,2,n.p.,Male,248714
411,Non-melanoma skin cancer (rare types),2008,Males,Australian Capital Territory,4,n.p.,2,n.p.,Male,174242
412,Non-melanoma skin cancer (rare types),2008,Males,Northern Territory,1,n.p.,0,n.p.,Male,116223
413,Non-melanoma skin cancer (rare types),2008,Males,,402,3.8,75,0.7,Male,10689738
414,Non-melanoma skin cancer (rare types),2008,Females,New South Wales,127,3.6,24,0.7,Female,3525583
415,Non-melanoma skin cancer (rare types),2008,Females,Victoria,30,1.1,6,0.2,Female,2679968
416,Non-melanoma skin cancer (rare types),2008,Females,Queensland,38,1.8,11,0.5,Female,2139555
417,Non-melanoma skin cancer (rare types),2008,Females,Western Australia,29,2.7,3,n.p.,Female,1095295
418,Non-melanoma skin cancer (rare types),2008,Females,South Australia,6,0.7,4,n.p.,Female,808184
419,Non-melanoma skin cancer (rare types),2008,Females,Tasmania,8,3.2,0,0.0,Female,253060
420,Non-melanoma skin cancer (rare types),2008,Females,Australian Capital Territory,2,n.p.,0,n.p.,Female,176859
421,Non-melanoma skin cancer (rare types),2008,Females,Northern Territory,0,n.p.,0,0.0,Female,106303
422,Non-melanoma skin cancer (rare types),2008,Females,,241,2.3,48,0.4,Female,10785887
423,Non-melanoma skin cancer (rare types),2008,Persons,New South Wales,293,4.2,52,0.7,Person,7001782
424,Non-melanoma skin cancer (rare types),2008,Persons,Victoria,70,1.3,12,0.2,Person,5313285
425,Non-melanoma skin cancer (rare types),2008,Persons,Queensland,157,3.7,36,0.9,Person,4275551
426,Non-melanoma skin cancer (rare types),2008,Persons,Western Australia,81,3.7,8,0.4,Person,2208928
427,Non-melanoma skin cancer (rare types),2008,Persons,South Australia,17,1.1,8,0.5,Person,1597880
428,Non-melanoma skin cancer (rare types),2008,Persons,Tasmania,15,3.0,2,n.p.,Person,501774
429,Non-melanoma skin cancer (rare types),2008,Persons,Australian Capital Territory,6,1.7,2,n.p.,Person,351101
430,Non-melanoma skin cancer (rare types),2008,Persons,Northern Territory,1,n.p.,0,n.p.,Person,222526
431,Non-melanoma skin cancer (rare types),2008,Persons,,643,3.0,123,0.6,Person,21475625
432,Non-melanoma skin cancer (rare types),2009,Males,New South Wales,190,5.4,35,1.0,Male,3526643
433,Non-melanoma skin cancer (rare types),2009,Males,Victoria,47,1.8,9,0.3,Male,2686022
434,Non-melanoma skin cancer (rare types),2009,Males,Queensland,135,6.2,24,1.1,Male,2181500
435,Non-melanoma skin cancer (rare types),2009,Males,Western Australia,46,4.1,6,0.5,Male,1140480
436,Non-melanoma skin cancer (rare types),2009,Males,South Australia,15,1.9,7,0.9,Male,800926
437,Non-melanoma skin cancer (rare types),2009,Males,Tasmania,9,3.6,3,n.p.,Male,251434
438,Non-melanoma skin cancer (rare types),2009,Males,Australian Capital Territory,3,n.p.,2,n.p.,Male,177822
439,Non-melanoma skin cancer (rare types),2009,Males,Northern Territory,1,n.p.,0,n.p.,Male,119297
440,Non-melanoma skin cancer (rare types),2009,Males,,446,4.1,84,0.8,Male,10886022
441,Non-melanoma skin cancer (rare types),2009,Females,New South Wales,111,3.1,22,0.6,Female,3574861
442,Non-melanoma skin cancer (rare types),2009,Females,Victoria,32,1.2,14,0.5,Female,2733227
443,Non-melanoma skin cancer (rare types),2009,Females,Queensland,55,2.5,5,0.2,Female,2185954
444,Non-melanoma skin cancer (rare types),2009,Females,Western Australia,31,2.8,5,0.5,Female,1123267
445,Non-melanoma skin cancer (rare types),2009,Females,South Australia,10,1.2,5,0.6,Female,817652
446,Non-melanoma skin cancer (rare types),2009,Females,Tasmania,5,2.0,0,0.0,Female,255027
447,Non-melanoma skin cancer (rare types),2009,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,180037
448,Non-melanoma skin cancer (rare types),2009,Females,Northern Territory,0,n.p.,0,0.0,Female,108486
449,Non-melanoma skin cancer (rare types),2009,Females,,247,2.3,52,0.5,Female,10979601
450,Non-melanoma skin cancer (rare types),2009,Persons,New South Wales,301,4.3,57,0.8,Person,7101504
451,Non-melanoma skin cancer (rare types),2009,Persons,Victoria,79,1.5,23,0.4,Person,5419249
452,Non-melanoma skin cancer (rare types),2009,Persons,Queensland,190,4.4,29,0.7,Person,4367454
453,Non-melanoma skin cancer (rare types),2009,Persons,Western Australia,77,3.4,11,0.5,Person,2263747
454,Non-melanoma skin cancer (rare types),2009,Persons,South Australia,25,1.6,12,0.7,Person,1618578
455,Non-melanoma skin cancer (rare types),2009,Persons,Tasmania,14,2.8,3,n.p.,Person,506461
456,Non-melanoma skin cancer (rare types),2009,Persons,Australian Capital Territory,5,1.6,2,n.p.,Person,357859
457,Non-melanoma skin cancer (rare types),2009,Persons,Northern Territory,1,n.p.,0,n.p.,Person,227783
458,Non-melanoma skin cancer (rare types),2009,Persons,,693,3.2,136,0.6,Person,21865623
459,Non-melanoma skin cancer (rare types),2010,Males,New South Wales,174,4.9,34,1.0,Male,3565558
460,Non-melanoma skin cancer (rare types),2010,Males,Victoria,49,1.8,14,0.5,Male,2720959
461,Non-melanoma skin cancer (rare types),2010,Males,Queensland,118,5.4,25,1.1,Male,2214429
462,Non-melanoma skin cancer (rare types),2010,Males,Western Australia,51,4.4,9,0.8,Male,1167862
463,Non-melanoma skin cancer (rare types),2010,Males,South Australia,22,2.7,4,n.p.,Male,808037
464,Non-melanoma skin cancer (rare types),2010,Males,Tasmania,12,4.7,1,n.p.,Male,253833
465,Non-melanoma skin cancer (rare types),2010,Males,Australian Capital Territory,4,n.p.,2,n.p.,Male,181314
466,Non-melanoma skin cancer (rare types),2010,Males,Northern Territory,1,n.p.,0,n.p.,Male,120979
467,Non-melanoma skin cancer (rare types),2010,Males,,434,4.0,88,0.8,Male,11034979
468,Non-melanoma skin cancer (rare types),2010,Females,New South Wales,120,3.3,18,0.5,Female,3614333
469,Non-melanoma skin cancer (rare types),2010,Females,Victoria,33,1.2,7,0.3,Female,2774752
470,Non-melanoma skin cancer (rare types),2010,Females,Queensland,64,2.9,15,0.7,Female,2222453
471,Non-melanoma skin cancer (rare types),2010,Females,Western Australia,29,2.6,1,n.p.,Female,1151201
472,Non-melanoma skin cancer (rare types),2010,Females,South Australia,7,0.9,2,n.p.,Female,824445
473,Non-melanoma skin cancer (rare types),2010,Females,Tasmania,10,3.9,2,n.p.,Female,256386
474,Non-melanoma skin cancer (rare types),2010,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,183519
475,Non-melanoma skin cancer (rare types),2010,Females,Northern Territory,0,n.p.,0,n.p.,Female,109534
476,Non-melanoma skin cancer (rare types),2010,Females,,265,2.4,48,0.4,Female,11137490
477,Non-melanoma skin cancer (rare types),2010,Persons,New South Wales,294,4.1,52,0.7,Person,7179891
478,Non-melanoma skin cancer (rare types),2010,Persons,Victoria,82,1.5,21,0.4,Person,5495711
479,Non-melanoma skin cancer (rare types),2010,Persons,Queensland,182,4.1,40,0.9,Person,4436882
480,Non-melanoma skin cancer (rare types),2010,Persons,Western Australia,80,3.5,10,0.4,Person,2319063
481,Non-melanoma skin cancer (rare types),2010,Persons,South Australia,29,1.8,6,0.4,Person,1632482
482,Non-melanoma skin cancer (rare types),2010,Persons,Tasmania,22,4.3,3,n.p.,Person,510219
483,Non-melanoma skin cancer (rare types),2010,Persons,Australian Capital Territory,6,1.7,2,n.p.,Person,364833
484,Non-melanoma skin cancer (rare types),2010,Persons,Northern Territory,1,n.p.,0,n.p.,Person,230460
485,Non-melanoma skin cancer (rare types),2010,Persons,,699,3.2,136,0.6,Person,22172469
486,Non-melanoma skin cancer (rare types),2011,Males,New South Wales,188,5.2,37,1.0,Male,3604198
487,Non-melanoma skin cancer (rare types),2011,Males,Victoria,38,1.4,16,0.6,Male,2766513
488,Non-melanoma skin cancer (rare types),2011,Males,Queensland,122,5.5,22,1.0,Male,2253923
489,Non-melanoma skin cancer (rare types),2011,Males,Western Australia,58,4.9,4,n.p.,Male,1202068
490,Non-melanoma skin cancer (rare types),2011,Males,South Australia,30,3.7,5,0.6,Male,815608
491,Non-melanoma skin cancer (rare types),2011,Males,Tasmania,10,3.9,3,n.p.,Male,254896
492,Non-melanoma skin cancer (rare types),2011,Males,Australian Capital Territory,4,n.p.,1,n.p.,Male,184982
493,Non-melanoma skin cancer (rare types),2011,Males,Northern Territory,1,n.p.,0,n.p.,Male,122136
494,Non-melanoma skin cancer (rare types),2011,Males,,452,4.1,89,0.8,Male,11206252
495,Non-melanoma skin cancer (rare types),2011,Females,New South Wales,106,2.9,22,0.6,Female,3654524
496,Non-melanoma skin cancer (rare types),2011,Females,Victoria,23,0.8,14,0.5,Female,2825305
497,Non-melanoma skin cancer (rare types),2011,Females,Queensland,60,2.7,12,0.5,Female,2264726
498,Non-melanoma skin cancer (rare types),2011,Females,Western Australia,39,3.3,2,n.p.,Female,1183879
499,Non-melanoma skin cancer (rare types),2011,Females,South Australia,6,0.7,2,n.p.,Female,831575
500,Non-melanoma skin cancer (rare types),2011,Females,Tasmania,2,n.p.,0,0.0,Female,256984
501,Non-melanoma skin cancer (rare types),2011,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,187088
502,Non-melanoma skin cancer (rare types),2011,Females,Northern Territory,0,n.p.,0,n.p.,Female,110816
503,Non-melanoma skin cancer (rare types),2011,Females,,238,2.1,52,0.5,Female,11315945
504,Non-melanoma skin cancer (rare types),2011,Persons,New South Wales,294,4.1,59,0.8,Person,7258722
505,Non-melanoma skin cancer (rare types),2011,Persons,Victoria,61,1.1,30,0.5,Person,5591818
506,Non-melanoma skin cancer (rare types),2011,Persons,Queensland,182,4.1,34,0.8,Person,4518649
507,Non-melanoma skin cancer (rare types),2011,Persons,Western Australia,97,4.1,6,0.3,Person,2385947
508,Non-melanoma skin cancer (rare types),2011,Persons,South Australia,36,2.2,7,0.4,Person,1647183
509,Non-melanoma skin cancer (rare types),2011,Persons,Tasmania,12,2.3,3,n.p.,Person,511880
510,Non-melanoma skin cancer (rare types),2011,Persons,Australian Capital Territory,6,1.6,2,n.p.,Person,372070
511,Non-melanoma skin cancer (rare types),2011,Persons,Northern Territory,2,n.p.,1,n.p.,Person,232952
512,Non-melanoma skin cancer (rare types),2011,Persons,,690,3.1,141,0.6,Person,22522197
513,Non-melanoma skin cancer (rare types),2012,Males,New South Wales,200,5.5,41,1.1,Male,3650035
514,Non-melanoma skin cancer (rare types),2012,Males,Victoria,36,1.3,10,0.4,Male,2825349
515,Non-melanoma skin cancer (rare types),2012,Males,Queensland,131,5.7,26,1.1,Male,2299776
516,Non-melanoma skin cancer (rare types),2012,Males,Western Australia,71,5.8,19,1.6,Male,1239615
517,Non-melanoma skin cancer (rare types),2012,Males,South Australia,24,2.9,5,0.6,Male,823688
518,Non-melanoma skin cancer (rare types),2012,Males,Tasmania,11,4.3,1,n.p.,Male,254866
519,Non-melanoma skin cancer (rare types),2012,Males,Australian Capital Territory,5,2.6,1,n.p.,Male,188673
520,Non-melanoma skin cancer (rare types),2012,Males,Northern Territory,1,n.p.,0,n.p.,Male,125043
521,Non-melanoma skin cancer (rare types),2012,Males,,478,4.2,103,0.9,Male,11408788
522,Non-melanoma skin cancer (rare types),2012,Females,New South Wales,116,3.2,28,0.8,Female,3703154
523,Non-melanoma skin cancer (rare types),2012,Females,Victoria,28,1.0,7,0.2,Female,2884237
524,Non-melanoma skin cancer (rare types),2012,Females,Queensland,71,3.1,11,0.5,Female,2311528
525,Non-melanoma skin cancer (rare types),2012,Females,Western Australia,47,3.9,3,n.p.,Female,1217874
526,Non-melanoma skin cancer (rare types),2012,Females,South Australia,13,1.6,1,n.p.,Female,839394
527,Non-melanoma skin cancer (rare types),2012,Females,Tasmania,8,3.1,1,n.p.,Female,257127
528,Non-melanoma skin cancer (rare types),2012,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,191139
529,Non-melanoma skin cancer (rare types),2012,Females,Northern Territory,1,n.p.,0,n.p.,Female,113685
530,Non-melanoma skin cancer (rare types),2012,Females,,286,2.5,51,0.4,Female,11519235
531,Non-melanoma skin cancer (rare types),2012,Persons,New South Wales,316,4.3,69,0.9,Person,7353189
532,Non-melanoma skin cancer (rare types),2012,Persons,Victoria,64,1.1,17,0.3,Person,5709586
533,Non-melanoma skin cancer (rare types),2012,Persons,Queensland,202,4.4,37,0.8,Person,4611304
534,Non-melanoma skin cancer (rare types),2012,Persons,Western Australia,118,4.9,22,0.9,Person,2457489
535,Non-melanoma skin cancer (rare types),2012,Persons,South Australia,37,2.2,6,0.4,Person,1663082
536,Non-melanoma skin cancer (rare types),2012,Persons,Tasmania,19,3.7,2,n.p.,Person,511993
537,Non-melanoma skin cancer (rare types),2012,Persons,Australian Capital Territory,7,1.8,2,n.p.,Person,379812
538,Non-melanoma skin cancer (rare types),2012,Persons,Northern Territory,2,n.p.,1,n.p.,Person,238728
539,Non-melanoma skin cancer (rare types),2012,Persons,,764,3.4,154,0.7,Person,22928023
540,Non-melanoma skin cancer (rare types),2013,Males,New South Wales,240,6.5,44,1.2,Male,3698220
541,Non-melanoma skin cancer (rare types),2013,Males,Victoria,57,2.0,19,0.7,Male,2884387
542,Non-melanoma skin cancer (rare types),2013,Males,Queensland,148,6.4,38,1.6,Male,2333762
543,Non-melanoma skin cancer (rare types),2013,Males,Western Australia,87,6.9,11,0.9,Male,1259941
544,Non-melanoma skin cancer (rare types),2013,Males,South Australia,23,2.8,6,0.7,Male,830900
545,Non-melanoma skin cancer (rare types),2013,Males,Tasmania,12,4.7,1,n.p.,Male,254878
546,Non-melanoma skin cancer (rare types),2013,Males,Australian Capital Territory,5,2.7,1,n.p.,Male,191691
547,Non-melanoma skin cancer (rare types),2013,Males,Northern Territory,1,n.p.,1,n.p.,Male,126921
548,Non-melanoma skin cancer (rare types),2013,Males,,575,5.0,121,1.1,Male,11582448
549,Non-melanoma skin cancer (rare types),2013,Females,New South Wales,116,3.1,25,0.7,Female,3756718
550,Non-melanoma skin cancer (rare types),2013,Females,Victoria,29,1.0,6,0.2,Female,2948198
551,Non-melanoma skin cancer (rare types),2013,Females,Queensland,72,3.1,20,0.9,Female,2351677
552,Non-melanoma skin cancer (rare types),2013,Females,Western Australia,44,3.6,10,0.8,Female,1242247
553,Non-melanoma skin cancer (rare types),2013,Females,South Australia,9,1.1,3,n.p.,Female,847152
554,Non-melanoma skin cancer (rare types),2013,Females,Tasmania,5,1.9,3,n.p.,Female,258137
555,Non-melanoma skin cancer (rare types),2013,Females,Australian Capital Territory,2,n.p.,1,n.p.,Female,194627
556,Non-melanoma skin cancer (rare types),2013,Females,Northern Territory,0,n.p.,0,n.p.,Female,115450
557,Non-melanoma skin cancer (rare types),2013,Females,,275,2.4,69,0.6,Female,11715329
558,Non-melanoma skin cancer (rare types),2013,Persons,New South Wales,356,4.8,69,0.9,Person,7454938
559,Non-melanoma skin cancer (rare types),2013,Persons,Victoria,86,1.5,25,0.4,Person,5832585
560,Non-melanoma skin cancer (rare types),2013,Persons,Queensland,220,4.7,58,1.2,Person,4685439
561,Non-melanoma skin cancer (rare types),2013,Persons,Western Australia,131,5.3,21,0.8,Person,2502188
562,Non-melanoma skin cancer (rare types),2013,Persons,South Australia,32,1.9,9,0.5,Person,1678052
563,Non-melanoma skin cancer (rare types),2013,Persons,Tasmania,17,3.3,4,n.p.,Person,513015
564,Non-melanoma skin cancer (rare types),2013,Persons,Australian Capital Territory,7,1.8,2,n.p.,Person,386318
565,Non-melanoma skin cancer (rare types),2013,Persons,Northern Territory,2,n.p.,1,n.p.,Person,242304
566,Non-melanoma skin cancer (rare types),2013,Persons,,850,3.7,190,0.8,Person,23297777
567,Non-melanoma skin cancer (rare types),2014,Males,New South Wales,224,6.0,42,1.1,Male,3750061
568,Non-melanoma skin cancer (rare types),2014,Males,Victoria,83,2.8,22,0.8,Male,2945763
569,Non-melanoma skin cancer (rare types),2014,Males,Queensland,131,5.6,40,1.7,Male,2361282
570,Non-melanoma skin cancer (rare types),2014,Males,Western Australia,77,6.1,14,1.1,Male,1271552
571,Non-melanoma skin cancer (rare types),2014,Males,South Australia,27,3.2,7,0.8,Male,838094
572,Non-melanoma skin cancer (rare types),2014,Males,Tasmania,11,4.3,2,n.p.,Male,255134
573,Non-melanoma skin cancer (rare types),2014,Males,Australian Capital Territory,5,2.9,1,n.p.,Male,194291
574,Non-melanoma skin cancer (rare types),2014,Males,Northern Territory,2,n.p.,1,n.p.,Male,127079
575,Non-melanoma skin cancer (rare types),2014,Males,,561,4.8,129,1.1,Male,11744498
576,Non-melanoma skin cancer (rare types),2014,Females,New South Wales,118,3.1,26,0.7,Female,3812110
577,Non-melanoma skin cancer (rare types),2014,Females,Victoria,38,1.3,5,0.2,Female,3011749
578,Non-melanoma skin cancer (rare types),2014,Females,Queensland,74,3.1,13,0.5,Female,2385981
579,Non-melanoma skin cancer (rare types),2014,Females,Western Australia,43,3.4,6,0.5,Female,1257067
580,Non-melanoma skin cancer (rare types),2014,Females,South Australia,16,1.9,1,n.p.,Female,855013
581,Non-melanoma skin cancer (rare types),2014,Females,Tasmania,5,1.9,1,n.p.,Female,259067
582,Non-melanoma skin cancer (rare types),2014,Females,Australian Capital Territory,1,n.p.,1,n.p.,Female,197690
583,Non-melanoma skin cancer (rare types),2014,Females,Northern Territory,0,n.p.,0,n.p.,Female,116165
584,Non-melanoma skin cancer (rare types),2014,Females,,295,2.5,53,0.4,Female,11895833
585,Non-melanoma skin cancer (rare types),2014,Persons,New South Wales,342,4.6,68,0.9,Person,7562171
586,Non-melanoma skin cancer (rare types),2014,Persons,Victoria,121,2.1,27,0.5,Person,5957512
587,Non-melanoma skin cancer (rare types),2014,Persons,Queensland,205,4.3,53,1.1,Person,4747263
588,Non-melanoma skin cancer (rare types),2014,Persons,Western Australia,120,4.8,20,0.8,Person,2528619
589,Non-melanoma skin cancer (rare types),2014,Persons,South Australia,43,2.5,8,0.5,Person,1693107
590,Non-melanoma skin cancer (rare types),2014,Persons,Tasmania,16,3.1,3,n.p.,Person,514040
591,Non-melanoma skin cancer (rare types),2014,Persons,Australian Capital Territory,7,1.8,2,n.p.,Person,391981
592,Non-melanoma skin cancer (rare types),2014,Persons,Northern Territory,2,n.p.,1,n.p.,Person,243201
593,Non-melanoma skin cancer (rare types),2014,Persons,,856,3.6,182,0.8,Person,23640331
594,Non-melanoma skin cancer (rare types),2015,Males,New South Wales,251,6.6,38,1.0,Male,3803289
595,Non-melanoma skin cancer (rare types),2015,Males,Victoria,79,2.7,26,0.9,Male,3011376
596,Non-melanoma skin cancer (rare types),2015,Males,Queensland,138,5.8,25,1.1,Male,2385347
597,Non-melanoma skin cancer (rare types),2015,Males,Western Australia,81,6.3,10,0.8,Male,1278792
598,Non-melanoma skin cancer (rare types),2015,Males,South Australia,30,3.6,6,0.7,Male,843702
